name,element,GW,bonus,assists,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Jack Robinson,576,12,0,1,0,31,1034,0,0,0,0.1,-2573,3,4.4,10,-1.666666666666667
Jake O'Brien,235,12,0,0,0,0,0,0,0,0,0.1,-9193,0,4.0,0,0.0
Jakub Kiwior,10,12,0,0,1,2,182,0,0,0,0.1,-3667,0,4.3,9,-4.166666666666666
Jamaal Lascelles,419,12,3,0,3,6,556,0,0,0,6.0,562057,2,4.1,23,-9.333333333333332
Jamal Lewis,420,12,0,0,0,0,0,0,0,0,0.0,-810,0,4.0,0,0.0
James Hill,69,12,0,0,0,0,15,0,0,0,0.1,-12903,0,4.0,1,0.0
James Tarkowski,265,12,4,1,2,17,1080,0,0,0,3.2,118530,2,4.4,37,-15.750000000000005
James Tomkins,241,12,0,0,0,0,1,0,0,0,0.5,-41400,0,4.0,1,0.0
Jan Paul van Hecke,150,12,1,0,0,5,478,0,0,0,1.8,41942,1,4.0,12,-2.416666666666667
Japhet Tanganga,518,12,0,0,0,0,0,0,0,0,0.4,-49927,0,4.0,0,0.0
